id	cat	title	desc	price_display	price_numeric	img1	img2	img3	img4
2-barok-antik-szek-ujitott	bútor/ülőbútor	2-barok-antik-szek-ujitott	"Barokk stílusú szék (felújított, kék-arany csíkos kárpit, fehér-arany keret). Általános jó állapot."	Induló: 40 000 Ft / Gyors: 35 000 Ft	35000	adam_butor_catalogue/2-barok-antik-szek-ujitott/IMG_0107.JPG	adam_butor_catalogue/2-barok-antik-szek-ujitott/IMG_0108.JPG	adam_butor_catalogue/2-barok-antik-szek-ujitott/IMG_0109.JPG	adam_butor_catalogue/2-barok-antik-szek-ujitott/IMG_0110.JPG
2barok-szek-antik	bútor/ülőbútor	2barok-szek-antik - ujitott	"Barokk jellegű szék (kék-arany csíkos kárpit, arany díszítések). Használati nyomok, de esztétikus."	Induló: 30 000 Ft / Gyors: 22 000 Ft	22000	adam_butor_catalogue/2barok-szek-antik/IMG_0119.JPG	adam_butor_catalogue/2barok-szek-antik/IMG_0120.JPG	adam_butor_catalogue/2barok-szek-antik/IMG_0121.JPG	
Art Nouveau női alakos dísztál		Art Nouveau női alakos dísztál	"Jelzett (szecessziós) női alakos dísztál, tavirózsa motívummal, ón/ötvözet. Szép patina, jó állapot."	Induló: 90 000 Ft / Gyors: 70 000 Ft	90000	adam_butor_catalogue/Art Nouveau női alakos dísztál/IMG_0519.JPG	adam_butor_catalogue/Art Nouveau női alakos dísztál/IMG_0520.JPG	adam_butor_catalogue/Art Nouveau női alakos dísztál/IMG_0521.JPG	adam_butor_catalogue/Art Nouveau női alakos dísztál/IMG_0522.JPG
Kihúzható kanapé		Kihúzható kanapé	"Bézs kihúzható kanapé-ágy, 3 háttámla párnával. Használati foltok, de funkcionális."	Induló: 70 000 Ft / Gyors: 55 000 Ft	45000	adam_butor_catalogue/Kihúzható kanapé/IMG_0198.JPG	adam_butor_catalogue/Kihúzható kanapé/IMG_0199.JPG		
Kloazoné váza		Kloazoné váza	"Két darab cloisonné váza, virágmintás, zománchiány helyenként. Egy nagyobb (~50 cm) és egy kisebb (~30 cm) darab, dekoratív, szép szettben."	Induló: 50 000 Ft / Gyors: 40 000 Ft	10000	adam_butor_catalogue/Kloazoné váza/IMG_0164.JPG	adam_butor_catalogue/Kloazoné váza/IMG_0264.JPG	adam_butor_catalogue/Kloazoné váza/IMG_0265.JPG	
Kínai kék-fehér váza		Kínai kék-fehér váza	"Magas kék-fehér porcelán váza sárkány füllel, modern dekor. Hibátlan perem."	Induló: 18 000 Ft / Gyors: 12 000 Ft	18000	adam_butor_catalogue/Kínai kék-fehér váza/IMG_0252.JPG	adam_butor_catalogue/Kínai kék-fehér váza/IMG_0253.JPG	adam_butor_catalogue/Kínai kék-fehér váza/IMG_0254.JPG	
Majolika tányér- és csészekészlet		Majolika tányér- és csészekészlet	Színes ét- és csészekészlet vegyes állapotban (néhol repedezett máz). Komplett csomag.	Induló: 14 000 Ft / Gyors: 10 000 Ft	14000	adam_butor_catalogue/Majolika tányér- és csészekészlet/IMG_0191.JPG	adam_butor_catalogue/Majolika tányér- és csészekészlet/IMG_0193.JPG		
Porcelán olajlámpa		Porcelán olajlámpa	"Porcel�n olajl�mpa k�k-feh�r tart�llyal, �vegk�m�nnyel �s r�z �g?fejjel. Hangulatos, dekorat�v darab, j� �llapotban. "	Induló: 15 000 Ft / Gyors: 10 000 Ft		adam_butor_catalogue/Porcelán olajlámpa/IMG_0168.JPG	adam_butor_catalogue/Porcelán olajlámpa/IMG_0169.JPG		
Samsung Huto		Samsung Huto	"Samsung hűtő, kb. 1 éves, szép állapot. Modern, energiatakarékos kivitel, csendes működés, hibátlanul hűt."	Induló: 90 000 Ft / Gyors: 80 000 Ft	80000	adam_butor_catalogue/Samsung Huto/IMG_0803.jpeg	adam_butor_catalogue/Samsung Huto/IMG_0804.jpeg	adam_butor_catalogue/Samsung Huto/IMG_0805.jpeg	
Tempo Kondela elektromos ágy		Tempo Kondela elektromos ágy	"Tempo Kondela márkájú elektromosan állítható ágy, kárpitozott keret. Tiszta, működés ellenőrzöttnek jelölendő."	Induló: 220 000 Ft / Gyors: 190 000 Ft	120000	adam_butor_catalogue/Tempo Kondela elektromos ágy/IMG_0463.JPG	adam_butor_catalogue/Tempo Kondela elektromos ágy/IMG_0465.JPG	adam_butor_catalogue/Tempo Kondela elektromos ágy/IMG_0471.JPG	adam_butor_catalogue/Tempo Kondela elektromos ágy/IMG_0472.JPG
